"Timestamp","Стать респондента","Рік народження","Скільки часу ви проживаєте у місті Володимир","Ваш рід занять","Рівень доходу","Яку частину доходу ви витрачаєте на діяльсть пов'язану з туризмом та сферою обслуговування ","Як ви ставитесь до візитів хасидів до Володимира?","Як ви ставитесь до туристів з Польщі?","Як ви ставитесь до туристів з інших країн?","На вашу думку який у вас рівень володіння англійською мовою?","На вашу думку який у вас рівень володіння польською мовою?","Чи достатньо, на вашу думку, у Володимирі готелей, для розміщення туристів чи туристичних груп?","Чи достатньо, на вашу думку, у Володимирі закладів харчування?","Чи вважаєте ви, що Володимир достатньо представлений в інтернеті як туристичне місто?"," Які туристичні об’єкти у Володимирі є, на вашу думку, ключовими для приваблення туристів?","Які зміни в туристичній інфраструктурі ви вважаєте найбільш необхідними? (можна кілька варіантів)","Які об’єкти, на вашу думку, слід відкрити чи розвинути у Володимирі, щоб туристи залишалися довше? (можна кілька варіантів)"
"2025/09/06 9:02:25 PM GMT+3","Жіноча","1962","більше 20 років","Пенсіонер","10 000 грн - 20 000 грн","10%-20%","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","початковий (A1)","елементарний (A2)","Частково","Частково","Частково","Вали городища;Храми;Заклади харчування","Краще туристичне зонування та навігація (вказівники, карти);Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Розвиток закладів харчування та місцевої кухні;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","Кав’ярні/фуд-корт із місцевою кухнею;Рекреаційна зона відпочинку з водоймою;Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Парк пригод (мотузковий, zip-line);Майданчик для регулярних ярмарків"
"2025/09/06 9:04:38 PM GMT+3","Жіноча","1986","більше 20 років","Працівник","до 10 000 грн","5%-10%","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","початковий (A1)","початковий (A1)","Ні","Ні","Ні","Вали городища;Храми","Краще туристичне зонування та навігація (вказівники, карти);Організація нових культурних та розважальних подій;Розвиток закладів харчування та місцевої кухні;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Сувенірні крамниці, майстерні ремесел;Майданчик для регулярних ярмарків"
"2025/09/06 9:13:17 PM GMT+3","Жіноча","1970","більше 20 років","Тимчасово не працюю","до 10 000 грн",">20%","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","початковий (A1)","початковий (A1)","Ні","Так","Ні","Вали городища;Храми","Більше місць для проживання (готелі, хостели, садиби);Краще туристичне зонування та навігація (вказівники, карти);Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Парк пригод (мотузковий, zip-line);Вело- та пішохідні маршрути з прокатом;Сувенірні крамниці, майстерні ремесел"
"2025/09/06 9:33:48 PM GMT+3","Жіноча","1970","більше 20 років","Працівник","10 000 грн - 20 000 грн","до 5%","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","початковий (A1)","просунутий (C1)","Ні","Ні","Частково","Вали городища;Храми","Покращення доріг і транспортного сполучення;Більше місць для проживання (готелі, хостели, садиби);Краще туристичне зонування та навігація (вказівники, карти);Організація нових культурних та розважальних подій;Розвиток закладів харчування та місцевої кухні","Рекреаційна зона відпочинку з водоймою;Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Майданчик для регулярних ярмарків"
"2025/09/06 9:34:36 PM GMT+3","Чоловіча","1976","більше 20 років","Військовослужбовець","40 000 грн - 60 000 грн","5%-10%","Негативно, вони залишають багато сміття і вони люди іншої культури, яка для нас чужа","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","елементарний (A2)","елементарний (A2)","Ні","Так","Ні","Вали городища;Храми","Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Розвиток закладів харчування та місцевої кухні;Більше рекламних кампаній про місто за кордоном та в Україні","Кав’ярні/фуд-корт із місцевою кухнею;Рекреаційна зона відпочинку з водоймою;Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Торгово-розважальний центр"
"2025/09/06 9:50:47 PM GMT+3","Жіноча","1981","більше 20 років","Працівник","10 000 грн - 20 000 грн","5%-10%","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","початковий (A1)","початковий (A1)","Ні","Частково","Ні","Храми","Більше екскурсій та гідів, в тому числі іноземними мовами;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Сувенірні крамниці, майстерні ремесел"
"2025/09/06 9:57:54 PM GMT+3","Жіноча","1991","більше 20 років","Працівник","20 000 грн - 40 000 грн","5%-10%","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","елементарний (A2)","початковий (A1)","Частково","Так","Частково","Вали городища;Храми;Заклади харчування","Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","Кав’ярні/фуд-корт із місцевою кухнею;Контактний зоопарк / міні-ферма для дітей;Рекреаційна зона відпочинку з водоймою;Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Парк пригод (мотузковий, zip-line);Вело- та пішохідні маршрути з прокатом;Сувенірні крамниці, майстерні ремесел"
"2025/09/06 10:12:30 PM GMT+3","Жіноча","1984","більше 20 років","Працівник","20 000 грн - 40 000 грн","до 5%","На мене це ніяк не впливає","На мене це ніяк не впливає","На мене це ніяк не впливає","елементарний (A2)","середній (B1)","Ні","Ні","Ні","Таких немає","Покращення доріг і транспортного сполучення;Більше місць для проживання (готелі, хостели, садиби);Організація нових культурних та розважальних подій;Розвиток закладів харчування та місцевої кухні;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","МакДональдс чи інший fast-food;Кав’ярні/фуд-корт із місцевою кухнею;Лазертаг, боулінг, кінотеатр;Рекреаційна зона відпочинку з водоймою;SPA- та wellness-комплекс (сауни, басейн);Торгово-розважальний центр;Майданчик для регулярних ярмарків"
"2025/09/06 10:13:51 PM GMT+3","Чоловіча","09.07.89","більше 20 років","Військовослужбовець","до 10 000 грн","до 5%","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","початковий (A1)","початковий (A1)","Ні","Так","Ні","Вали городища;Храми","Краще туристичне зонування та навігація (вказівники, карти);Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","Рекреаційна зона відпочинку з водоймою;Центр історії княжого Володимира;Вело- та пішохідні маршрути з прокатом"
"2025/09/06 10:54:17 PM GMT+3","Жіноча","1957","більше 20 років","Працівник","20 000 грн - 40 000 грн","5%-10%","На мене це ніяк не впливає","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","вище середнього (B2)","початковий (A1)","Ні","Так","Частково","Вали городища;Храми;Заклади харчування","Покращення доріг і транспортного сполучення;Більше місць для проживання (готелі, хостели, садиби);Краще туристичне зонування та навігація (вказівники, карти);Більше екскурсій та гідів, в тому числі іноземними мовами;Розвиток закладів харчування та місцевої кухні;Більше рекламних кампаній про місто за кордоном та в Україні","Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Сувенірні крамниці, майстерні ремесел"
"2025/09/06 11:15:08 PM GMT+3","Чоловіча","1973","більше 20 років","Працівник","до 10 000 грн","до 5%","Негативно, вони залишають багато сміття і вони люди іншої культури, яка для нас чужа","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","початковий (A1)","початковий (A1)","Частково","Частково","Частково","Вежа на консервному заводі","Покращення доріг і транспортного сполучення","Торгово-розважальний центр"
"2025/09/06 11:56:37 PM GMT+3","Жіноча","1988","більше 20 років","Працівник","10 000 грн - 20 000 грн","5%-10%","На мене це ніяк не впливає","На мене це ніяк не впливає","На мене це ніяк не впливає","початковий (A1)","елементарний (A2)","Ні","Так","Ні","Вали городища;Храми;Заклади харчування;Центральна площа","Краще туристичне зонування та навігація (вказівники, карти);Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Піша доріжка, яка обєднуватиме туристичні об'єкти","Лазертаг, боулінг, кінотеатр;Рекреаційна зона відпочинку з водоймою;Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Вело- та пішохідні маршрути з прокатом;Сувенірні крамниці, майстерні ремесел;Майданчик для регулярних ярмарків"
"2025/09/07 12:46:19 AM GMT+3","Жіноча","1989","більше 20 років","Приватний підприємець","до 10 000 грн","до 5%","Негативно, вони залишають багато сміття і вони люди іншої культури, яка для нас чужа","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","середній (B1)","початковий (A1)","Ні","Так","Частково","Вали городища;Храми;Вежа на консервному заводі","Більше місць для проживання (готелі, хостели, садиби);Організація нових культурних та розважальних подій;Більше рекламних кампаній про місто за кордоном та в Україні","Кав’ярні/фуд-корт із місцевою кухнею;SPA- та wellness-комплекс (сауни, басейн);Музей з інтерактивними технологіями (VR/AR);Сувенірні крамниці, майстерні ремесел;Майданчик для регулярних ярмарків"
"2025/09/07 2:43:27 AM GMT+3","Жіноча","1987","більше 20 років","Працівник","20 000 грн - 40 000 грн","10%-20%","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","початковий (A1)","початковий (A1)","Ні","Так","Ні","Вали городища;Храми","Більше місць для проживання (готелі, хостели, садиби);Краще туристичне зонування та навігація (вказівники, карти);Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Розвиток закладів харчування та місцевої кухні;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","Рекреаційна зона відпочинку з водоймою;Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Вело- та пішохідні маршрути з прокатом"
"2025/09/07 6:27:42 AM GMT+3","Жіноча","1968","більше 20 років","Працівник","до 10 000 грн","до 5%","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","початковий (A1)","елементарний (A2)","Ні","Ні","Ні","Вали городища","Більше місць для проживання (готелі, хостели, садиби);Краще туристичне зонування та навігація (вказівники, карти);Організація нових культурних та розважальних подій;Розвиток закладів харчування та місцевої кухні;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","Кав’ярні/фуд-корт із місцевою кухнею;Контактний зоопарк / міні-ферма для дітей;Центр історії княжого Володимира;Торгово-розважальний центр;Сувенірні крамниці, майстерні ремесел;Майданчик для регулярних ярмарків"
"2025/09/07 6:36:11 AM GMT+3","Жіноча","1971","більше 20 років","Працівник","20 000 грн - 40 000 грн","10%-20%","Негативно, вони залишають багато сміття і вони люди іншої культури, яка для нас чужа","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","середній (B1)","просунутий (C1)","Ні","Ні","Ні","Вали городища;Храми;Центральна площа","Покращення доріг і транспортного сполучення;Більше місць для проживання (готелі, хостели, садиби);Більше екскурсій та гідів, в тому числі іноземними мовами;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","Кав’ярні/фуд-корт із місцевою кухнею;Рекреаційна зона відпочинку з водоймою;Музей з інтерактивними технологіями (VR/AR);Вело- та пішохідні маршрути з прокатом"
"2025/09/07 8:04:19 AM GMT+3","Чоловіча","","більше 20 років","Пенсіонер","до 10 000 грн","до 5%","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","початковий (A1)","середній (B1)","Частково","Так","Ні","Вали городища;Храми","Покращення доріг і транспортного сполучення;Більше місць для проживання (готелі, хостели, садиби);Розвиток закладів харчування та місцевої кухні;Більше рекламних кампаній про місто за кордоном та в Україні","Рекреаційна зона відпочинку з водоймою;Центр історії княжого Володимира;Парк пригод (мотузковий, zip-line);Вело- та пішохідні маршрути з прокатом;Майданчик для регулярних ярмарків"
"2025/09/07 8:30:19 AM GMT+3","Чоловіча","","більше 20 років","Працівник","10 000 грн - 20 000 грн","до 5%","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","елементарний (A2)","початковий (A1)","Частково","Ні","Ні","Храми","Краще туристичне зонування та навігація (вказівники, карти);Більше екскурсій та гідів, в тому числі іноземними мовами;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","Рекреаційна зона відпочинку з водоймою;SPA- та wellness-комплекс (сауни, басейн);Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Вело- та пішохідні маршрути з прокатом;Майданчик для регулярних ярмарків"
"2025/09/07 8:50:30 AM GMT+3","Жіноча","1979","більше 20 років","Працівник","20 000 грн - 40 000 грн","10%-20%","Негативно, вони залишають багато сміття і вони люди іншої культури, яка для нас чужа","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","початковий (A1)","елементарний (A2)","Ні","Ні","Ні","Вали городища;Храми","Більше місць для проживання (готелі, хостели, садиби);Краще туристичне зонування та навігація (вказівники, карти);Організація нових культурних та розважальних подій;Розвиток закладів харчування та місцевої кухні;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","МакДональдс чи інший fast-food;SPA- та wellness-комплекс (сауни, басейн);Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Парк пригод (мотузковий, zip-line);Сувенірні крамниці, майстерні ремесел;Майданчик для регулярних ярмарків"
"2025/09/07 8:51:53 AM GMT+3","Жіноча","1994","5-10 років","Тимчасово не працюю","10 000 грн - 20 000 грн","10%-20%","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","елементарний (A2)","початковий (A1)","Ні","Так","Ні","Вали городища;Храми","Більше місць для проживання (готелі, хостели, садиби);Більше екскурсій та гідів, в тому числі іноземними мовами;Більше рекламних кампаній про місто за кордоном та в Україні","Рекреаційна зона відпочинку з водоймою;SPA- та wellness-комплекс (сауни, басейн);Майданчик для регулярних ярмарків"
"2025/09/07 9:35:01 AM GMT+3","Чоловіча","1998","більше 20 років","Працівник","20 000 грн - 40 000 грн","до 5%","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","вище середнього (B2)","елементарний (A2)","Ні","Ні","Ні","Вали городища;Храми;Заклади харчування;Центральна площа","Покращення доріг і транспортного сполучення;Більше місць для проживання (готелі, хостели, садиби);Краще туристичне зонування та навігація (вказівники, карти);Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Розвиток закладів харчування та місцевої кухні;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","Кав’ярні/фуд-корт із місцевою кухнею;Контактний зоопарк / міні-ферма для дітей;Рекреаційна зона відпочинку з водоймою;Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Парк пригод (мотузковий, zip-line);Вело- та пішохідні маршрути з прокатом;Торгово-розважальний центр;Сувенірні крамниці, майстерні ремесел;Майданчик для регулярних ярмарків"
"2025/09/07 9:55:43 AM GMT+3","Чоловіча","1959","більше 20 років","Пенсіонер","до 10 000 грн","5%-10%","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","початковий (A1)","елементарний (A2)","Ні","Ні","Так","Вали городища;Храми","Більше місць для проживання (готелі, хостели, садиби);Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Розвиток закладів харчування та місцевої кухні;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","МакДональдс чи інший fast-food;Контактний зоопарк / міні-ферма для дітей;Рекреаційна зона відпочинку з водоймою;Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Парк пригод (мотузковий, zip-line);Вело- та пішохідні маршрути з прокатом;Сувенірні крамниці, майстерні ремесел;Майданчик для регулярних ярмарків"
"2025/09/07 10:04:57 AM GMT+3","Жіноча","1990","більше 20 років","Працівник","до 10 000 грн","10%-20%","На мене це ніяк не впливає","На мене це ніяк не впливає","На мене це ніяк не впливає","початковий (A1)","середній (B1)","Ні","Так","Ні","Таких немає","Більше місць для проживання (готелі, хостели, садиби);Краще туристичне зонування та навігація (вказівники, карти);Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","Рекреаційна зона відпочинку з водоймою;Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Парк пригод (мотузковий, zip-line);Майданчик для регулярних ярмарків"
"2025/09/07 1:57:16 PM GMT+3","Жіноча","1981","більше 20 років","Працівник","20 000 грн - 40 000 грн","до 5%","Негативно, вони залишають багато сміття і вони люди іншої культури, яка для нас чужа","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","середній (B1)","початковий (A1)","Ні","Частково","Ні","Вали городища;Храми","Покращення доріг і транспортного сполучення;Більше місць для проживання (готелі, хостели, садиби);Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Розвиток закладів харчування та місцевої кухні;Більше рекламних кампаній про місто за кордоном та в Україні","Рекреаційна зона відпочинку з водоймою;SPA- та wellness-комплекс (сауни, басейн);Музей з інтерактивними технологіями (VR/AR);Літературно-мистецький простір (книгарня-кав’ярня, сцена);Парк пригод (мотузковий, zip-line);Вело- та пішохідні маршрути з прокатом;Торгово-розважальний центр;Сувенірні крамниці, майстерні ремесел"
