"Timestamp","Стать респондента","Рік народження","Скільки часу ви проживаєте у місті Володимир","Ваш рід занять","Рівень доходу","Яку частину доходу ви витрачаєте на діяльсть пов'язану з туризмом та сферою обслуговування ","Як ви ставитесь до візитів хасидів до Володимира?

цього читати респондентам не потрібно (Карлін-столінські хасиди, вшановують пам’ять свого цадика (духовного провідника) Шломо Готліба Карлінера, який помер у 1792 році і похований на колишньому єврейському цвинтарі, нині це паркова зона в районі вулиці Драгоманова)  ","Як ви ставитесь до туристів з Польщі?","Як ви ставитесь до туристів з інших країн?","На вашу думку який у вас рівень володіння англійською мовою?","На вашу думку який у вас рівень володіння польською мовою?","Чи достатньо, на вашу думку, у Володимирі готелей, для розміщення туристів чи туристичних груп?","Чи достатньо, на вашу думку, у Володимирі закладів харчування?","Чи вважаєте ви, що Володимир достатньо представлений в інтернеті як туристичне місто?"," Які туристичні об’єкти у Володимирі є, на вашу думку, ключовими для приваблення туристів?","Які зміни в туристичній інфраструктурі ви вважаєте найбільш необхідними? (можна кілька варіантів)","Які об’єкти, на вашу думку, слід відкрити чи розвинути у Володимирі, щоб туристи залишалися довше? (можна кілька варіантів)"
"2025/09/06 12:28:48 PM GMT+3","Чоловіча","","більше 20 років","Працівник","20 000 грн - 40 000 грн","до 5%","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","початковий (A1)","початковий (A1)","Ні","Так","Ні","Центральна площа","Краще туристичне зонування та навігація (вказівники, карти);Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Більше рекламних кампаній про місто за кордоном та в Україні","Рекреаційна зона відпочинку з водоймою;Музей з інтерактивними технологіями (VR/AR);Парк пригод (мотузковий, zip-line);Вело- та пішохідні маршрути з прокатом;Сувенірні крамниці, майстерні ремесел;Майданчик для регулярних ярмарків"
"2025/09/06 12:33:36 PM GMT+3","Жіноча","","2-5 років","Працівник","","5%-10%","На мене це ніяк не впливає","На мене це ніяк не впливає","На мене це ніяк не впливає","початковий (A1)","початковий (A1)","Так","Так","Частково","Храми;Центральна площа","Покращення доріг і транспортного сполучення;Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами","МакДональдс чи інший fast-food;Кав’ярні/фуд-корт із місцевою кухнею;Лазертаг, боулінг, кінотеатр;Контактний зоопарк / міні-ферма для дітей;Рекреаційна зона відпочинку з водоймою;SPA- та wellness-комплекс (сауни, басейн);Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Парк пригод (мотузковий, zip-line);Вело- та пішохідні маршрути з прокатом;Торгово-розважальний центр;Сувенірні крамниці, майстерні ремесел;Майданчик для регулярних ярмарків"
"2025/09/06 12:39:35 PM GMT+3","Жіноча","","менше 2 років","","","","Негативно, вони залишають багато сміття і вони люди іншої культури, яка для нас чужа","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","початковий (A1)","початковий (A1)","Так","","Так","Центральна площа","Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Піша доріжка, яка обєднуватиме туристичні об'єкти","МакДональдс чи інший fast-food;Парк пригод (мотузковий, zip-line);Торгово-розважальний центр"
"2025/09/06 12:47:37 PM GMT+3","Чоловіча","","5-10 років","Працівник","10 000 грн - 20 000 грн","до 5%","На мене це ніяк не впливає","На мене це ніяк не впливає","На мене це ніяк не впливає","середній (B1)","середній (B1)","Ні","Так","Частково","Вали городища;Центральна площа","Більше місць для проживання (готелі, хостели, садиби);Краще туристичне зонування та навігація (вказівники, карти);Більше екскурсій та гідів, в тому числі іноземними мовами;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","МакДональдс чи інший fast-food;Контактний зоопарк / міні-ферма для дітей;Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Літературно-мистецький простір (книгарня-кав’ярня, сцена);Парк пригод (мотузковий, zip-line);Торгово-розважальний центр;Сувенірні крамниці, майстерні ремесел"
"2025/09/06 12:55:18 PM GMT+3","Жіноча","","","Працівник","10 000 грн - 20 000 грн","до 5%","Негативно, вони залишають багато сміття і вони люди іншої культури, яка для нас чужа","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","початковий (A1)","початковий (A1)","Ні","Так","Ні","Храми","Покращення доріг і транспортного сполучення;Більше місць для проживання (готелі, хостели, садиби);Краще туристичне зонування та навігація (вказівники, карти);Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","МакДональдс чи інший fast-food;Лазертаг, боулінг, кінотеатр;Контактний зоопарк / міні-ферма для дітей;Рекреаційна зона відпочинку з водоймою;Парк пригод (мотузковий, zip-line);Торгово-розважальний центр;Сувенірні крамниці, майстерні ремесел;Майданчик для регулярних ярмарків"
"2025/09/06 1:01:49 PM GMT+3","Жіноча","","більше 20 років","Працівник","до 10 000 грн","до 5%","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","початковий (A1)","початковий (A1)","Ні","Так","Ні","Вали городища;Храми","Краще туристичне зонування та навігація (вказівники, карти);Організація нових культурних та розважальних подій;Більше рекламних кампаній про місто за кордоном та в Україні","Музей з інтерактивними технологіями (VR/AR);Центр історії княжого Володимира;Парк пригод (мотузковий, zip-line)"
"2025/09/06 1:19:02 PM GMT+3","Жіноча","","","Пенсіонер","до 10 000 грн","до 5%","","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","елементарний (A2)","середній (B1)","Частково","Так","Частково","Вали городища;Храми;Центральна площа","Покращення доріг і транспортного сполучення;Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами","Лазертаг, боулінг, кінотеатр;Рекреаційна зона відпочинку з водоймою;Сувенірні крамниці, майстерні ремесел;Майданчик для регулярних ярмарків"
"2025/09/06 1:27:16 PM GMT+3","Чоловіча","","більше 20 років","Пенсіонер","до 10 000 грн","до 5%","Негативно, вони залишають багато сміття і вони люди іншої культури, яка для нас чужа","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","початковий (A1)","вище середнього (B2)","Ні","Так","Так","Храми","",""
"2025/09/06 1:32:04 PM GMT+3","Жіноча","","","Працівник","","","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","початковий (A1)","початковий (A1)","Так","Так","Ні","Заклади харчування","",""
"2025/09/06 1:41:03 PM GMT+3","Жіноча","","","","","","","На мене це ніяк не впливає","На мене це ніяк не впливає","початковий (A1)","початковий (A1)","Частково","Так","Частково","","Організація нових культурних та розважальних подій;Більше екскурсій та гідів, в тому числі іноземними мовами;Більше рекламних кампаній про місто за кордоном та в Україні","МакДональдс чи інший fast-food;Рекреаційна зона відпочинку з водоймою;Парк пригод (мотузковий, zip-line)"
"2025/09/06 1:43:28 PM GMT+3","Жіноча","","","","","","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","елементарний (A2)","елементарний (A2)","Ні","Ні","Ні","Храми;Заклади харчування","Більше місць для проживання (готелі, хостели, садиби);Організація нових культурних та розважальних подій;Більше рекламних кампаній про місто за кордоном та в Україні","Рекреаційна зона відпочинку з водоймою;Музей з інтерактивними технологіями (VR/AR);Вело- та пішохідні маршрути з прокатом;Сувенірні крамниці, майстерні ремесел"
"2025/09/06 1:48:43 PM GMT+3","Жіноча","","","Працівник","10 000 грн - 20 000 грн",">20%","Негативно, вони залишають багато сміття і вони люди іншої культури, яка для нас чужа","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","елементарний (A2)","середній (B1)","Ні","Ні","Так","Вали городища;Центральна площа","Покращення доріг і транспортного сполучення;Більше місць для проживання (готелі, хостели, садиби);Краще туристичне зонування та навігація (вказівники, карти)","МакДональдс чи інший fast-food;Центр історії княжого Володимира;Торгово-розважальний центр;Сувенірні крамниці, майстерні ремесел"
"2025/09/06 1:53:55 PM GMT+3","Жіноча","","більше 20 років","","","","Негативно, вони залишають багато сміття і вони люди іншої культури, яка для нас чужа","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","елементарний (A2)","елементарний (A2)","Ні","Так","Так","Вали городища;Храми;Центральна площа","Покращення доріг і транспортного сполучення;Більше місць для проживання (готелі, хостели, садиби);Піша доріжка, яка обєднуватиме туристичні об'єкти","МакДональдс чи інший fast-food;Контактний зоопарк / міні-ферма для дітей;SPA- та wellness-комплекс (сауни, басейн);Літературно-мистецький простір (книгарня-кав’ярня, сцена);Торгово-розважальний центр;Майданчик для регулярних ярмарків"
"2025/09/06 1:57:47 PM GMT+3","Жіноча","","","","","","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","","","Ні","Ні","Ні","Вали городища;Центральна площа","Покращення доріг і транспортного сполучення;Більше місць для проживання (готелі, хостели, садиби);Організація нових культурних та розважальних подій;Розвиток закладів харчування та місцевої кухні;Більше рекламних кампаній про місто за кордоном та в Україні","МакДональдс чи інший fast-food;Кав’ярні/фуд-корт із місцевою кухнею;SPA- та wellness-комплекс (сауни, басейн);Вело- та пішохідні маршрути з прокатом;Майданчик для регулярних ярмарків"
"2025/09/06 1:59:39 PM GMT+3","Жіноча","","","","","","Негативно, вони залишають багато сміття і вони люди іншої культури, яка для нас чужа","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","середній (B1)","середній (B1)","Ні","Так","Частково","","",""
"2025/09/06 2:03:17 PM GMT+3","Жіноча","","","Працівник","10 000 грн - 20 000 грн","5%-10%","На мене це ніяк не впливає","На мене це ніяк не впливає","На мене це ніяк не впливає","початковий (A1)","початковий (A1)","Ні","Так","Ні","Храми;Заклади харчування","Покращення доріг і транспортного сполучення;Піша доріжка, яка обєднуватиме туристичні об'єкти","Контактний зоопарк / міні-ферма для дітей;Вело- та пішохідні маршрути з прокатом;Торгово-розважальний центр"
"2025/09/06 2:11:28 PM GMT+3","Чоловіча","","","Працівник","20 000 грн - 40 000 грн","5%-10%","На мене це ніяк не впливає","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","початковий (A1)","початковий (A1)","Ні","Так","Так","Храми","Покращення доріг і транспортного сполучення;Організація нових культурних та розважальних подій;Піша доріжка, яка обєднуватиме туристичні об'єкти","МакДональдс чи інший fast-food;Контактний зоопарк / міні-ферма для дітей;SPA- та wellness-комплекс (сауни, басейн);Вело- та пішохідні маршрути з прокатом;Майданчик для регулярних ярмарків"
"2025/09/06 2:17:45 PM GMT+3","Жіноча","","менше 2 років","Працівник","до 10 000 грн","до 5%","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","початковий (A1)","середній (B1)","Частково","Так","Частково","Центральна площа","Покращення доріг і транспортного сполучення;Більше місць для проживання (готелі, хостели, садиби);Більше рекламних кампаній про місто за кордоном та в Україні;Піша доріжка, яка обєднуватиме туристичні об'єкти","МакДональдс чи інший fast-food;Центр історії княжого Володимира;Торгово-розважальний центр;Сувенірні крамниці, майстерні ремесел;Майданчик для регулярних ярмарків"
"2025/09/06 2:22:14 PM GMT+3","Жіноча","","","","","","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","початковий (A1)","початковий (A1)","Так","Так","Ні","Вали городища;Храми;Центральна площа","Покращення доріг і транспортного сполучення;Організація нових культурних та розважальних подій;Більше рекламних кампаній про місто за кордоном та в Україні","МакДональдс чи інший fast-food;Контактний зоопарк / міні-ферма для дітей;Музей з інтерактивними технологіями (VR/AR);Парк пригод (мотузковий, zip-line);Сувенірні крамниці, майстерні ремесел"
"2025/09/06 2:27:54 PM GMT+3","Жіноча","","","","","","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","Позитивно, туристи це завжди добре для міста","вище середнього (B2)","вище середнього (B2)","Ні","Так","Так","Вали городища;Заклади харчування","Покращення доріг і транспортного сполучення;Більше місць для проживання (готелі, хостели, садиби);Більше екскурсій та гідів, в тому числі іноземними мовами;Більше рекламних кампаній про місто за кордоном та в Україні","МакДональдс чи інший fast-food;Літературно-мистецький простір (книгарня-кав’ярня, сцена)"
